f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,label
20,5,94,80,1,19,0,29,82,27,0
89,78,88,3,57,81,86,18,53,97,0
63,71,90,6,26,23,80,96,47,81,0
32,43,33,35,26,0,67,65,92,0,0
55,27,57,80,46,97,0,4,45,51,1
17,14,27,46,0,42,70,62,69,84,0
9,87,74,68,30,4,21,74,8,23,1
99,89,1,94,48,90,71,8,11,95,1
25,58,16,49,87,17,76,9,60,79,1
32,16,71,16,7,76,11,71,82,89,1
26,22,24,17,68,69,63,13,12,84,0
25,45,0,8,11,98,82,23,19,63,1
11,30,11,73,28,63,78,71,37,85,0
11,61,96,62,0,38,6,39,26,94,0
24,99,0,72,82,35,93,9,25,8,1
90,70,65,75,78,63,88,62,71,74,0
45,3,57,85,95,86,29,68,31,70,1
61,60,8,44,62,22,23,78,5,93,1
41,62,5,59,29,18,65,34,25,25,1
27,98,74,54,11,41,81,20,32,57,0
5,88,97,47,5,9,89,51,80,20,0
34,87,90,41,94,38,74,3,47,37,0
80,85,57,54,86,41,4,1,29,36,1
6,25,40,7,54,16,26,19,28,25,0
81,69,2,93,65,25,44,14,42,95,0
37,20,18,91,63,69,20,39,67,55,0
52,19,68,32,40,89,83,84,83,11,0
64,33,20,72,46,42,47,30,49,42,0
18,93,97,11,36,14,23,24,89,14,0
31,76,36,49,87,57,77,93,65,36,1
52,53,88,59,73,33,69,87,98,91,1
92,34,91,20,65,91,91,79,79,25,1
73,88,46,14,6,61,50,48,29,99,0
15,59,32,32,38,9,19,94,42,54,0
57,76,58,13,34,32,33,13,38,62,0
43,45,27,56,7,52,93,5,3,64,0
51,31,39,28,71,94,22,69,51,50,1
38,26,33,31,87,12,64,55,63,16,0
19,93,77,61,4,60,53,11,22,29,1
48,45,41,19,85,87,69,49,94,55,1
80,16,77,43,49,25,34,63,2,87,1
3,64,67,16,71,11,36,63,23,72,0
49,41,47,87,78,37,92,92,49,52,0
48,73,3,39,58,55,82,18,35,23,1
13,14,77,77,78,46,86,61,18,99,1
29,66,52,29,55,81,64,5,59,23,1
66,97,35,56,21,5,67,52,16,12,1
60,56,8,40,47,95,45,32,80,6,1
57,77,77,8,27,32,64,25,32,45,1
34,32,80,89,50,29,48,28,45,33,1
85,48,33,82,2,22,95,59,65,98,0
61,97,20,2,80,2,34,17,34,93,0
83,68,23,52,99,0,93,52,31,69,0
87,5,77,75,8,65,52,19,79,87,1
48,49,41,67,70,87,23,91,2,44,0
9,41,10,5,43,18,87,7,87,67,0
14,66,32,22,65,99,11,91,19,36,0
65,49,92,0,79,13,19,90,96,50,1
13,38,95,53,10,39,33,60,29,46,0
73,48,67,77,22,0,26,16,17,7,0
82,21,26,33,0,22,19,75,90,79,1
79,15,34,29,10,5,38,61,37,1,1
14,78,80,16,57,72,87,33,23,80,0
10,61,64,66,36,63,65,56,22,14,1
17,4,10,27,52,82,67,3,77,3,0
0,67,60,36,97,94,80,19,51,79,0
54,29,97,0,9,54,93,90,82,99,0
32,3,81,5,43,62,44,63,79,92,0
83,62,12,99,33,67,16,77,1,46,1
48,99,82,43,60,29,92,40,41,79,0
72,43,81,81,68,61,0,84,96,55,0
85,0,3,48,69,30,60,39,93,38,1
48,42,93,35,0,73,53,61,94,97,0
29,69,37,53,4,85,43,39,79,82,0
20,81,20,11,6,99,79,56,42,5,0
49,77,7,50,23,85,90,16,50,47,1
56,98,62,24,57,94,57,95,12,72,0
75,56,54,43,7,50,64,76,73,51,0
82,30,40,78,77,26,37,88,53,92,1
51,51,47,14,13,82,71,20,10,55,0
68,0,74,17,13,81,56,33,73,17,1
61,33,17,85,9,55,95,2,95,19,0
98,41,85,10,96,93,61,79,12,84,1
27,26,56,74,54,0,12,79,26,8,1
